"","gene","Freq"
"1","ACTC1",6
"2","ADCY7",7
"3","ADRA2A",6
"4","AHNAK2",7
"5","ALDH2",6
"6","ANXA1",7
"7","ANXA3",7
"8","APOE",7
"9","ARL4A",6
"10","ARPC1B",7
"11","ARPC5",6
"12","ART3",7
"13","ATP2B2",6
"14","ATP9A",6
"15","BGN",6
"16","BLNK",6
"17","C1QB",6
"18","C1R",6
"19","C1S",7
"20","C3AR1",6
"21","CALD1",6
"22","CAPN6",7
"23","CASQ2",6
"24","CCL2",7
"25","CCND2",7
"26","CD14",7
"27","CD163",6
"28","CD24",7
"29","CD74",7
"30","CD9",7
"31","CD99",8
"32","CDC14B",6
"33","CDH11",6
"34","CDKN1A",6
"35","CFH",8
"36","CFI",7
"37","CHAF1B",6
"38","CHRDL1",7
"39","CHRNA1",9
"40","CHSY1",6
"41","CILP",6
"42","CLCN5",7
"43","CLDN5",6
"44","CNN3",7
"45","COL14A1",6
"46","COL15A1",7
"47","COL1A1",8
"48","COL1A2",7
"49","COL3A1",7
"50","COL4A2",6
"51","COL5A2",7
"52","COL6A2",6
"53","COL6A3",7
"54","CPVL",6
"55","CRIP1",7
"56","CRIP2",7
"57","CTDSPL",6
"58","CTGF",6
"59","CTSK",7
"60","CTSS",7
"61","DBN1",6
"62","DCLK1",6
"63","DLK1",6
"64","DMD",7
"65","DNM1",6
"66","DPP4",6
"67","DSTN",6
"68","ECM2",6
"69","EEF1A1",7
"70","EMP3",6
"71","EPB41L3",8
"72","ERBB4",6
"73","EVI2A",6
"74","EVI2B",6
"75","EYA1",6
"76","F13A1",6
"77","FGL2",8
"78","FHL2",6
"79","FKBP5",6
"80","FN1",6
"81","FOLR2",6
"82","FRZB",6
"83","GADD45A",6
"84","GBP2",6
"85","GJA1",7
"86","GMPR",7
"87","GOT2",6
"88","GPC3",6
"89","GPM6B",8
"90","GPNMB",6
"91","GUK1",6
"92","HCLS1",6
"93","HLA-A",6
"94","HLA-DMA",7
"95","HLA-DMB",6
"96","HLA-DPA1",7
"97","HLA-DPB1",7
"98","HLA-DRA",9
"99","HLA-DRB4",6
"100","HLA-E",6
"101","HLA-F",6
"102","HMGCS2",6
"103","HMGN1",6
"104","HN1",6
"105","HNMT",8
"106","HOXA10",6
"107","HTRA1",7
"108","IFI16",7
"109","IFI44",6
"110","IFI44L",7
"111","IFIH1",6
"112","IGFBP4",6
"113","IGFBP7",7
"114","IL10RA",6
"115","IL1R1",6
"116","IL4R",6
"117","IL7",6
"118","IMPA2",7
"119","IRF8",6
"120","JAM3",7
"121","JUP",7
"122","KCTD12",6
"123","LAMB1",6
"124","LAPTM5",9
"125","LGALS3",6
"126","LGALS3BP",7
"127","LGMN",9
"128","LGR5",6
"129","LIPA",7
"130","LOXL1",6
"131","LRRC17",7
"132","LSP1",7
"133","LTBR",6
"134","LY96",7
"135","LYZ",7
"136","MACF1",7
"137","MAGED2",6
"138","MAOB",6
"139","MEG3",7
"140","MEST",6
"141","MGP",6
"142","MLLT11",7
"143","MPPED2",6
"144","MRC2",6
"145","MVP",6
"146","MX1",6
"147","MXRA5",7
"148","MXRA8",7
"149","MYBPH",7
"150","MYH3",8
"151","MYH8",8
"152","MYL5",8
"153","MYL6",6
"154","MYOF",7
"155","NCF2",6
"156","NCF4",6
"157","NDN",6
"158","NDRG1",6
"159","NMI",6
"160","OLFML1",6
"161","OLFML2B",7
"162","PABPC1",6
"163","PCOLCE",7
"164","PDGFRA",6
"165","PDGFRL",6
"166","PDIA3",6
"167","PECAM1",6
"168","PEG3",6
"169","PENK",8
"170","PGAM2",6
"171","PHKA1",6
"172","PHTF2",6
"173","PLA2G2A",6
"174","PLAGL1",8
"175","PLAU",6
"176","PLP1",6
"177","PLTP",6
"178","POSTN",7
"179","PPIB",6
"180","PPP1R1A",6
"181","PPP1R3A",6
"182","PRCP",6
"183","PREPL",6
"184","PROS1",6
"185","PSMB8",7
"186","PTPRF",7
"187","PXDN",7
"188","RAB31",6
"189","RAD23A",7
"190","RARRES2",6
"191","RBM3",6
"192","RGS2",6
"193","RHOBTB1",6
"194","RNASE6",7
"195","S100A10",6
"196","S100A13",6
"197","S100A2",6
"198","S100A4",7
"199","SAT1",6
"200","SCN1B",6
"201","SCRN1",6
"202","SDCBP",6
"203","SECTM1",6
"204","SEPP1",6
"205","SERPINA3",6
"206","SERPING1",7
"207","SFRP1",6
"208","SGCA",7
"209","SLC7A7",6
"210","SMPDL3A",7
"211","SNAI2",6
"212","SNX7",6
"213","SOX11",6
"214","SPARC",7
"215","SPP1",6
"216","SRGN",6
"217","SRPX",7
"218","STAB1",6
"219","TBC1D4",6
"220","TDO2",7
"221","TFRC",6
"222","TGFBI",6
"223","THBS2",6
"224","THBS4",6
"225","TMEM158",6
"226","TMSB10",6
"227","TNNT2",8
"228","TPP1",6
"229","TRIM38",6
"230","TRIP10",6
"231","TUBA1A",6
"232","TYROBP",6
"233","TYRP1",7
"234","UGCG",6
"235","VAMP8",6
"236","VCAM1",7
"237","VDAC1",6
"238","VIM",6
"239","VSIG4",7
"240","WSB1",6
"241","XIST",6
"242","XRCC4",7
"243","ZBTB16",7
