symbol1,symbol2
ARF5,DAZAP1
ARF5,AP3B1
ARF5,RAB11A
ARF5,FAF2
ARF5,RAB11FIP3
ARF5,LDHAL6A
ARF5,ASAP2
ARF5,CYTH3
ARF5,LDHAL6B
ARF5,GGA2
ARF5,ALDH5A1
ARF5,GGA1
ARF5,AP1B1
ARF5,PCBP2
ARF5,RAB5B
ARF5,CYTH1
ARF5,PIP5K1A
ARF5,ACADM
ARF5,CDC5L
ARF5,PSAT1
ARF5,AP1G1
ARF5,ARFIP1
ARF5,CYTH2
ARF5,LDHC
ARF5,ARF1
ARF5,LDHA
ARF5,ETFA
ARF5,IQSEC1
ARF5,RAB11FIP4
ARF5,AP2B1
ARF5,ARFIP2
M6PR,TAFA1
FKBP4,CSNK2A1
FKBP4,PRKAB1
FKBP4,NR3C1
FKBP4,S100A1
FKBP4,HSPA4
FKBP4,FES
FKBP4,HSP90AA1
FKBP4,MAPT
FKBP4,MTOR
FKBP4,S100A6
FKBP4,GLMN
FKBP4,HSP90AB1
FKBP4,FOXO3
FKBP4,HSF1
FUCA2,CLDN12
SEMA3F,NRP1
SEMA3F,NRP2
CFTR,PSMA3
CFTR,SLC9A3R1
CFTR,SLC4A7
CFTR,HSPA4
CFTR,YWHAG
CFTR,PPP2R1B
CFTR,PPP2R1A
CFTR,FLNC
CFTR,HSP90AA1
CFTR,PRKAA1
CFTR,VCP
CFTR,DNAJC5
CFTR,FLNA
CFTR,YWHAZ
CFTR,SLC9A3R2
CFTR,SLC26A8
CFTR,FLNB
CFTR,HSPA8
CFTR,KRT8
CFTR,MARCHF2
CYP51A1,PRPF19
CYP51A1,HSD17B7
CYP51A1,MSMO1
CYP51A1,SC5D
CYP51A1,SIGMAR1
CYP51A1,TM7SF2
CYP51A1,LBR
CYP51A1,NSDHL
CYP51A1,LSS
CYP51A1,FDFT1
USP28,RPS27A
USP28,FBXW7
USP28,SENP2
USP28,PFAS
USP28,TP53BP1
USP28,ZNF304
USP28,CIT
USP28,UBA52
USP28,UBC
USP28,USO1
PDK4,PDK1
PDK4,PDK2
USH1C,DCHS1
USH1C,ANKS4B
USH1C,IFT88
USH1C,CDHR5
USH1C,FAT4
USH1C,CDH23
USH1C,MYO7A
USH1C,MYO7B
USH1C,CDHR2
USH1C,USH1G
RALA,RALBP1
RALA,MYH9
RALA,TSC2
RALA,CCND1
RALA,YBX3
RALA,EXOC2
RALA,MYO1G
RALA,RALGPS1
RALA,RIPK1
RALA,EXOC6B
RALA,NDUFS6
RALA,RGL4
RALA,ARF6
RALA,RAB8B
RALA,EXOC7
RALA,PLD1
RALA,CALM1
RALA,MYH10
RALA,CNKSR2
RALA,MPV17
RALA,MSLN
RALA,HRAS
RALA,RAB34
RALA,RGL2
RALA,RASSF5
BAIAP2L1,WASL
BAIAP2L1,PRKAB2
BAIAP2L1,EPS8
BAIAP2L1,BAIAP2
BAIAP2L1,WAS
BAIAP2L1,LANCL1
BAIAP2L1,IP6K3
BAIAP2L1,PWWP3A
DVL2,CSNK2A1
DVL2,APC
DVL2,AXIN1
DVL2,GABARAPL1
DVL2,LRRK2
DVL2,DAB2
DVL2,DVL3
DVL2,RIPK4
DVL2,DACT1
DVL2,CTNNB1
DVL2,PRICKLE1
DVL2,VANGL1
DVL2,RAC1
DVL2,WWP2
DVL2,FZD5
DVL2,DACT2
DVL2,KLHL12
DVL2,ABL1
DVL2,ZBTB17
DVL2,DVL1
DVL2,DAAM1
DVL2,CSNK1E
DVL2,RHOA
DVL2,ARRB1
DVL2,PTK7
DVL2,WWP1
DVL2,FZD4
RPAP3,PIH1D1
RPAP3,TELO2
RPAP3,LEO1
RPAP3,RUVBL1
RPAP3,PPP1CA
RPAP3,ASB7
RPAP3,HSP90AA1
RPAP3,UXT
RPAP3,PPP1CC
RPAP3,PHLDA3
RPAP3,PFDN2
RPAP3,HSP90AB1
RPAP3,TTI1
RPAP3,CAPZB
